time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-09-07,16.0,,24.0,,,,,,,,Antananarivo
2021-01-02,20.2,15.2,25.5,0.5,,,12.1,,1017.0,,Antananarivo
2021-01-03,20.2,16.7,25.1,0.1,,,14.2,,1015.8,,Antananarivo
2021-01-04,20.0,14.4,26.8,0.0,,,11.4,,1014.3,,Antananarivo
2021-01-05,21.3,15.9,28.5,0.7,,,5.1,,1013.9,,Antananarivo
2021-01-06,21.6,16.4,28.8,1.4,,,5.4,,1014.2,,Antananarivo
2021-01-07,22.0,16.7,30.0,1.1,,,6.7,,1012.7,,Antananarivo
2021-01-08,22.5,17.1,29.6,1.6,,,5.5,,1010.2,,Antananarivo
2021-01-09,21.1,17.3,27.7,11.9,,,6.5,,1010.2,,Antananarivo
2021-01-10,21.1,15.2,28.7,1.0,,,6.6,,1011.3,,Antananarivo
2021-01-11,21.8,16.2,29.3,0.5,,,6.5,,1012.8,,Antananarivo
2021-01-12,22.4,15.3,29.1,1.5,,,5.3,,1013.7,,Antananarivo
2021-01-13,22.5,17.1,28.8,4.1,,,5.9,,1013.0,,Antananarivo
2021-01-14,22.1,18.3,28.2,8.6,,,4.6,,1012.7,,Antananarivo
2021-01-15,21.6,17.6,28.7,3.3,,,7.0,,1012.5,,Antananarivo
2021-01-16,22.6,17.9,28.8,1.6,,,5.0,,1011.9,,Antananarivo
2021-01-17,23.2,16.8,29.9,1.4,,,6.3,,1011.7,,Antananarivo
2021-01-18,23.1,18.0,28.5,0.7,,,5.9,,1010.9,,Antananarivo
2021-01-19,22.3,17.0,28.6,2.0,,,13.5,,1010.6,,Antananarivo
2021-01-20,21.2,19.1,24.4,0.1,,,22.3,,1011.8,,Antananarivo
2021-01-21,22.0,18.9,26.8,3.3,,,14.2,,1013.7,,Antananarivo
2021-01-22,21.9,17.4,28.4,2.3,,,6.5,,1015.5,,Antananarivo
2021-01-23,21.8,17.8,28.0,2.8,,,8.9,,1015.3,,Antananarivo
2021-01-24,21.0,17.6,28.0,26.5,,,4.3,,1015.3,,Antananarivo
2021-01-25,20.5,17.1,26.9,13.6,,,3.9,,1015.4,,Antananarivo
2021-01-26,20.6,16.4,26.4,8.4,,,4.1,,1014.7,,Antananarivo
2021-01-27,21.1,16.4,27.2,12.7,,,4.6,,1012.9,,Antananarivo
2021-01-28,20.6,17.7,25.9,39.6,,,5.2,,1013.6,,Antananarivo
2021-01-29,20.1,16.8,25.6,11.6,,,6.1,,1014.8,,Antananarivo
2021-01-30,20.0,16.1,26.7,10.1,,,6.4,,1015.8,,Antananarivo
2021-01-31,21.1,16.4,26.2,4.9,,,7.6,,1015.6,,Antananarivo
2021-02-01,21.9,17.2,27.6,0.0,,,10.1,,1017.0,,Antananarivo
2021-02-02,22.0,18.1,27.8,0.0,,,11.8,,1016.9,,Antananarivo
2021-02-03,20.4,14.6,26.7,4.4,,,11.3,,1016.4,,Antananarivo
2021-02-04,21.1,17.4,26.8,6.8,,,10.5,,1015.6,,Antananarivo
2021-02-05,20.7,15.2,26.7,9.8,,,7.4,,1015.1,,Antananarivo
2021-02-06,21.0,16.7,26.5,4.0,,,5.9,,1012.9,,Antananarivo
2021-02-07,20.1,17.1,26.0,4.8,,,5.0,,1012.0,,Antananarivo
2021-02-08,20.0,16.8,25.8,16.1,,,5.3,,1013.6,,Antananarivo
2021-02-09,19.9,16.9,25.9,24.3,,,6.3,,1014.6,,Antananarivo
2021-02-10,19.6,17.8,22.9,42.7,,,8.7,,1014.7,,Antananarivo
2021-02-11,19.2,17.1,24.4,31.1,,,6.6,,1014.0,,Antananarivo
2021-02-12,20.0,17.2,23.9,7.4,,,8.7,,1014.3,,Antananarivo
2021-02-13,19.5,17.4,23.6,4.8,,,9.5,,1015.4,,Antananarivo
2021-02-14,18.1,16.6,20.7,18.5,,,7.7,,1015.7,,Antananarivo
2021-02-15,18.6,16.6,21.3,6.9,,,4.3,,1014.0,,Antananarivo
2021-02-16,19.6,16.6,23.3,10.4,,,9.8,,1012.7,,Antananarivo
2021-02-17,21.1,17.4,26.7,0.2,,,9.1,,1013.6,,Antananarivo
2021-02-18,21.9,16.3,29.1,10.8,,,5.2,,1014.6,,Antananarivo
2021-02-19,22.2,18.3,29.0,4.2,,,8.2,,1015.1,,Antananarivo
2021-02-20,22.4,18.8,28.4,2.8,,,4.6,,1014.5,,Antananarivo
2021-02-21,21.2,17.8,25.7,1.1,,,10.6,,1014.7,,Antananarivo
2021-02-22,20.5,16.9,25.3,3.1,,,12.8,,1015.5,,Antananarivo
2021-02-23,19.7,16.6,24.9,1.4,,,15.0,,1015.2,,Antananarivo
2021-02-24,19.7,16.3,23.9,3.9,,,11.3,,1014.6,,Antananarivo
2021-02-25,19.9,17.2,24.2,6.0,,,7.4,,1013.6,,Antananarivo
2021-02-26,20.5,15.0,25.7,10.4,,,7.0,,1012.2,,Antananarivo
2021-02-27,20.8,17.5,25.6,19.7,,,8.4,,1011.5,,Antananarivo
2021-02-28,20.8,15.9,25.9,5.8,,,7.9,,1011.6,,Antananarivo
2021-03-01,21.1,18.3,25.6,1.1,,,12.3,,1012.9,,Antananarivo
2021-03-02,20.6,16.9,25.5,1.1,,,12.1,,1014.0,,Antananarivo
2021-03-03,20.7,16.6,26.3,3.2,,,7.7,,1013.1,,Antananarivo
2021-03-04,20.2,18.0,24.7,13.6,,,7.6,,1011.6,,Antananarivo
2021-03-05,19.7,17.4,23.7,18.1,,,11.0,,1011.1,,Antananarivo
2021-03-06,20.5,17.5,25.4,10.0,,,19.0,,1009.3,,Antananarivo
2021-03-07,20.3,16.7,25.0,3.6,,,9.5,,1010.6,,Antananarivo
2021-03-08,20.2,16.8,24.9,3.1,,,3.8,,1011.6,,Antananarivo
2021-03-09,20.4,16.4,25.7,1.4,,,4.6,,1014.1,,Antananarivo
2021-03-10,20.0,14.9,25.4,11.7,,,7.0,,1015.1,,Antananarivo
2021-03-11,22.7,17.5,28.6,0.0,,,8.5,,1015.0,,Antananarivo
2021-03-12,19.6,15.8,25.4,1.3,,,9.6,,1015.9,,Antananarivo
2021-03-13,18.6,13.0,25.1,0.2,,,11.7,,1016.2,,Antananarivo
2021-03-14,18.5,13.3,24.8,7.3,,,10.6,,1015.7,,Antananarivo
2021-03-15,19.6,15.7,24.2,1.1,,,11.1,,1014.5,,Antananarivo
2021-03-16,19.3,15.1,24.4,5.1,,,8.6,,1014.6,,Antananarivo
2021-03-17,19.1,15.3,24.4,13.0,,,8.4,,1014.7,,Antananarivo
